state,year,domestic_visitors_thousand
Johor,2018,13487.0
Johor,2019,14274.0
Johor,2020,7243.0
Johor,2021,3658.0
Johor,2022,12376.0
Johor,2023,15805.0
Johor,2024,17138.0
Johor,2025,18197.0
Kedah,2018,14480.0
Kedah,2019,14831.0
Kedah,2020,10108.0
Kedah,2021,4023.0
Kedah,2022,11186.0
Kedah,2023,13444.0
Kedah,2024,14651.0
Kedah,2025,15608.0
Kelantan,2018,9846.0
Kelantan,2019,10986.0
Kelantan,2020,6058.0
Kelantan,2021,1921.0
Kelantan,2022,6627.0
Kelantan,2023,7549.0
Kelantan,2024,10514.0
Kelantan,2025,12062.0
Melaka,2018,13123.0
Melaka,2019,13979.0
Melaka,2020,7275.0
Melaka,2021,3878.0
Melaka,2022,11757.0
Melaka,2023,15559.0
Melaka,2024,19128.0
Melaka,2025,20832.0
Negeri Sembilan,2018,12802.0
Negeri Sembilan,2019,13303.0
Negeri Sembilan,2020,7918.0
Negeri Sembilan,2021,5485.0
Negeri Sembilan,2022,11490.0
Negeri Sembilan,2023,14959.0
Negeri Sembilan,2024,17785.0
Negeri Sembilan,2025,19357.0
Pahang,2018,18111.0
Pahang,2019,18498.0
Pahang,2020,9905.0
Pahang,2021,3405.0
Pahang,2022,13189.0
Pahang,2023,16456.0
Pahang,2024,20174.0
Pahang,2025,23161.0
Pulau Pinang,2018,14450.0
Pulau Pinang,2019,15411.0
Pulau Pinang,2020,8929.0
Pulau Pinang,2021,5061.0
Pulau Pinang,2022,10003.0
Pulau Pinang,2023,13128.0
Pulau Pinang,2024,16605.0
Pulau Pinang,2025,17718.0
Perak,2018,17553.0
Perak,2019,21070.0
Perak,2020,13173.0
Perak,2021,4489.0
Perak,2022,14567.0
Perak,2023,17108.0
Perak,2024,21776.0
Perak,2025,23642.0
Perlis,2018,2156.0
Perlis,2019,2088.0
Perlis,2020,1193.0
Perlis,2021,407.0
Perlis,2022,1669.0
Perlis,2023,1951.0
Perlis,2024,3225.0
Perlis,2025,3756.0
Selangor,2018,30179.0
Selangor,2019,33589.0
Selangor,2020,19715.0
Selangor,2021,10212.0
Selangor,2022,21990.0
Selangor,2023,27579.0
Selangor,2024,34461.0
Selangor,2025,36376.0
Terengganu,2018,13742.0
Terengganu,2019,14158.0
Terengganu,2020,7420.0
Terengganu,2021,3719.0
Terengganu,2022,10233.0
Terengganu,2023,11761.0
Terengganu,2024,14461.0
Terengganu,2025,15462.0
Sabah,2018,20360.0
Sabah,2019,22035.0
Sabah,2020,10337.0
Sabah,2021,3815.0
Sabah,2022,12589.0
Sabah,2023,16080.0
Sabah,2024,20592.0
Sabah,2025,22361.0
Sarawak,2018,19380.0
Sarawak,2019,19793.0
Sarawak,2020,9393.0
Sarawak,2021,6511.0
Sarawak,2022,15465.0
Sarawak,2023,17901.0
Sarawak,2024,19626.0
Sarawak,2025,22722.0
W.P. Kuala Lumpur,2018,19165.0
W.P. Kuala Lumpur,2019,22633.0
W.P. Kuala Lumpur,2020,12435.0
W.P. Kuala Lumpur,2021,9116.0
W.P. Kuala Lumpur,2022,16913.0
W.P. Kuala Lumpur,2023,22233.0
W.P. Kuala Lumpur,2024,26983.0
W.P. Kuala Lumpur,2025,35060.0
W.P. Labuan,2018,545.0
W.P. Labuan,2019,524.0
W.P. Labuan,2020,107.0
W.P. Labuan,2021,54.0
W.P. Labuan,2022,244.0
W.P. Labuan,2023,331.0
W.P. Labuan,2024,450.0
W.P. Labuan,2025,604.0
W.P. Putrajaya,2018,1892.0
W.P. Putrajaya,2019,1949.0
W.P. Putrajaya,2020,451.0
W.P. Putrajaya,2021,223.0
W.P. Putrajaya,2022,1306.0
W.P. Putrajaya,2023,1900.0
W.P. Putrajaya,2024,2557.0
W.P. Putrajaya,2025,3146.0
